orig_entrada_saida,orig_data,orig_movimentacao,orig_produto,orig_instituicao,orig_quantidade,orig_preco_unitario,orig_valor_operacao,entrada_saida,data_iso,movimentacao_limpa,produto_limpo,instituicao_limpa,quantidade_numerica,preco_unitario_numerico,tipo_evento_normalizado,operacao_normalizada,ativo_ticker,ativo_nome_limpo,instituicao_normalizada,valor_total_numerico,auditoria_valor_original,categoria_evento,impacto_caixa,impacto_posicao,impacto_custo_medio,necessidade_revisao_manual,inconsistencia_qtd_preco_valor,motivo_revisao
Credito,15/04/2026,Rendimento,HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB,NU INVESTIMENTOS S.A. - CTVM,58,0.17,9.86,CREDITO,2026-04-15,Rendimento,HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB,NU INVEST CORRETORA DE VALORES S.A.,58,0.17,PROVENTO,RENDIMENTO,HGBS11,HEDGE BRASIL SHOPPING FDO INV IMOB,NU INVEST CORRETORA DE VALORES S.A.,9.86,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB"",""instituicao"":""NU INVESTIMENTOS S.A. - CTVM"",""quantidade"":""58"",""preco_unitario"":""0.17"",""valor_operacao"":""9.86""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,HGCR11 - PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,BANCO BTG PACTUAL S/A,3,0.95,2.85,CREDITO,2026-04-15,Rendimento,HGCR11 - PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,BANCO BTG PACTUAL S.A.,3,0.95,PROVENTO,RENDIMENTO,HGCR11,PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,BANCO BTG PACTUAL S.A.,2.85,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""HGCR11 - PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""3"",""preco_unitario"":""0.95"",""valor_operacao"":""2.85""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,HGCR11 - PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,GENIAL INSTITUCIONAL CCTVM S/A,3,0.95,2.85,CREDITO,2026-04-15,Rendimento,HGCR11 - PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,GENIAL INSTITUCIONAL CCTVM S.A.,3,0.95,PROVENTO,RENDIMENTO,HGCR11,PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,GENIAL INSTITUCIONAL CCTVM S.A.,2.85,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""HGCR11 - PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""3"",""preco_unitario"":""0.95"",""valor_operacao"":""2.85""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,HGCR11 - PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,NU INVESTIMENTOS S.A. - CTVM,21,0.95,19.95,CREDITO,2026-04-15,Rendimento,HGCR11 - PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,NU INVEST CORRETORA DE VALORES S.A.,21,0.95,PROVENTO,RENDIMENTO,HGCR11,PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,NU INVEST CORRETORA DE VALORES S.A.,19.95,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""HGCR11 - PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT"",""instituicao"":""NU INVESTIMENTOS S.A. - CTVM"",""quantidade"":""21"",""preco_unitario"":""0.95"",""valor_operacao"":""19.95""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.,BANCO BTG PACTUAL S/A,2,1.1,2.2,CREDITO,2026-04-15,Rendimento,HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.,BANCO BTG PACTUAL S.A.,2,1.1,PROVENTO,RENDIMENTO,HGLG11,PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.,BANCO BTG PACTUAL S.A.,2.2,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA."",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""2"",""preco_unitario"":""1.1"",""valor_operacao"":""2.2""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.,GENIAL INSTITUCIONAL CCTVM S/A,2,1.1,2.2,CREDITO,2026-04-15,Rendimento,HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.,GENIAL INSTITUCIONAL CCTVM S.A.,2,1.1,PROVENTO,RENDIMENTO,HGLG11,PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.,GENIAL INSTITUCIONAL CCTVM S.A.,2.2,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA."",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""2"",""preco_unitario"":""1.1"",""valor_operacao"":""2.2""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,JSRE11 - JS REAL ESTATE MULTIGESTÃO - FII,BANCO BTG PACTUAL S/A,4,0.48,1.92,CREDITO,2026-04-15,Rendimento,JSRE11 - JS REAL ESTATE MULTIGESTÃO - FII,BANCO BTG PACTUAL S.A.,4,0.48,PROVENTO,RENDIMENTO,JSRE11,JS REAL ESTATE MULTIGESTÃO - FII,BANCO BTG PACTUAL S.A.,1.92,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""JSRE11 - JS REAL ESTATE MULTIGESTÃO - FII"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""4"",""preco_unitario"":""0.48"",""valor_operacao"":""1.92""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,JSRE11 - JS REAL ESTATE MULTIGESTÃO - FII,GENIAL INSTITUCIONAL CCTVM S/A,5,0.48,2.4,CREDITO,2026-04-15,Rendimento,JSRE11 - JS REAL ESTATE MULTIGESTÃO - FII,GENIAL INSTITUCIONAL CCTVM S.A.,5,0.48,PROVENTO,RENDIMENTO,JSRE11,JS REAL ESTATE MULTIGESTÃO - FII,GENIAL INSTITUCIONAL CCTVM S.A.,2.4,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""JSRE11 - JS REAL ESTATE MULTIGESTÃO - FII"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""5"",""preco_unitario"":""0.48"",""valor_operacao"":""2.4""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,JURO11 - SPARTA INFRA FIC FI INFRA RENDA FIXA CP,BANCO BTG PACTUAL S/A,1,1,1,CREDITO,2026-04-15,Rendimento,JURO11 - SPARTA INFRA FIC FI INFRA RENDA FIXA CP,BANCO BTG PACTUAL S.A.,1,1,PROVENTO,RENDIMENTO,JURO11,SPARTA INFRA FIC FI INFRA RENDA FIXA CP,BANCO BTG PACTUAL S.A.,1,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""JURO11 - SPARTA INFRA FIC FI INFRA RENDA FIXA CP"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""1"",""preco_unitario"":""1"",""valor_operacao"":""1""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,MXRF11 - MAXI RENDA FDO INV IMOB - FII,BANCO BTG PACTUAL S/A,36,0.095,3.42,CREDITO,2026-04-15,Rendimento,MXRF11 - MAXI RENDA FDO INV IMOB - FII,BANCO BTG PACTUAL S.A.,36,0.095,PROVENTO,RENDIMENTO,MXRF11,MAXI RENDA FDO INV IMOB - FII,BANCO BTG PACTUAL S.A.,3.42,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""MXRF11 - MAXI RENDA FDO INV IMOB - FII"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""36"",""preco_unitario"":""0.095"",""valor_operacao"":""3.42""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,MXRF11 - MAXI RENDA FDO INV IMOB - FII,GENIAL INSTITUCIONAL CCTVM S/A,33,0.095,3.13,CREDITO,2026-04-15,Rendimento,MXRF11 - MAXI RENDA FDO INV IMOB - FII,GENIAL INSTITUCIONAL CCTVM S.A.,33,0.095,PROVENTO,RENDIMENTO,MXRF11,MAXI RENDA FDO INV IMOB - FII,GENIAL INSTITUCIONAL CCTVM S.A.,3.13,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""MXRF11 - MAXI RENDA FDO INV IMOB - FII"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""33"",""preco_unitario"":""0.095"",""valor_operacao"":""3.13""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,MXRF11 - MAXI RENDA FDO INV IMOB - FII,NU INVESTIMENTOS S.A. - CTVM,40,0.095,3.8,CREDITO,2026-04-15,Rendimento,MXRF11 - MAXI RENDA FDO INV IMOB - FII,NU INVEST CORRETORA DE VALORES S.A.,40,0.095,PROVENTO,RENDIMENTO,MXRF11,MAXI RENDA FDO INV IMOB - FII,NU INVEST CORRETORA DE VALORES S.A.,3.8,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""MXRF11 - MAXI RENDA FDO INV IMOB - FII"",""instituicao"":""NU INVESTIMENTOS S.A. - CTVM"",""quantidade"":""40"",""preco_unitario"":""0.095"",""valor_operacao"":""3.8""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,RECR11 - FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,BANCO BTG PACTUAL S/A,3,1.034,3.1,CREDITO,2026-04-15,Rendimento,RECR11 - FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,BANCO BTG PACTUAL S.A.,3,1.034,PROVENTO,RENDIMENTO,RECR11,FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,BANCO BTG PACTUAL S.A.,3.1,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""RECR11 - FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""3"",""preco_unitario"":""1.034"",""valor_operacao"":""3.1""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,RECR11 - FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,GENIAL INSTITUCIONAL CCTVM S/A,4,1.034,4.13,CREDITO,2026-04-15,Rendimento,RECR11 - FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,GENIAL INSTITUCIONAL CCTVM S.A.,4,1.034,PROVENTO,RENDIMENTO,RECR11,FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,GENIAL INSTITUCIONAL CCTVM S.A.,4.13,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""RECR11 - FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""4"",""preco_unitario"":""1.034"",""valor_operacao"":""4.13""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,RZAG11 - FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB,BANCO BTG PACTUAL S/A,34,0.12,4.08,CREDITO,2026-04-15,Rendimento,RZAG11 - FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB,BANCO BTG PACTUAL S.A.,34,0.12,PROVENTO,RENDIMENTO,RZAG11,FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB,BANCO BTG PACTUAL S.A.,4.08,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""RZAG11 - FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""34"",""preco_unitario"":""0.12"",""valor_operacao"":""4.08""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,RZAG11 - FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB,GENIAL INSTITUCIONAL CCTVM S/A,36,0.12,4.32,CREDITO,2026-04-15,Rendimento,RZAG11 - FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB,GENIAL INSTITUCIONAL CCTVM S.A.,36,0.12,PROVENTO,RENDIMENTO,RZAG11,FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB,GENIAL INSTITUCIONAL CCTVM S.A.,4.32,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""RZAG11 - FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""36"",""preco_unitario"":""0.12"",""valor_operacao"":""4.32""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,SAPI11 - SANTANDER PAPÉIS IMOBILIÁRIOS FDO DE INV IMOB,BANCO BTG PACTUAL S/A,28,0.11,3.08,CREDITO,2026-04-15,Rendimento,SAPI11 - SANTANDER PAPÉIS IMOBILIÁRIOS FDO DE INV IMOB,BANCO BTG PACTUAL S.A.,28,0.11,PROVENTO,RENDIMENTO,SAPI11,SANTANDER PAPÉIS IMOBILIÁRIOS FDO DE INV IMOB,BANCO BTG PACTUAL S.A.,3.08,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""SAPI11 - SANTANDER PAPÉIS IMOBILIÁRIOS FDO DE INV IMOB"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""28"",""preco_unitario"":""0.11"",""valor_operacao"":""3.08""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,TEPP11 - TELLUS PROPERTIES - FDO INV. IMOB,BANCO BTG PACTUAL S/A,30,0.131,3.93,CREDITO,2026-04-15,Rendimento,TEPP11 - TELLUS PROPERTIES - FDO INV. IMOB,BANCO BTG PACTUAL S.A.,30,0.131,PROVENTO,RENDIMENTO,TEPP11,TELLUS PROPERTIES - FDO INV. IMOB,BANCO BTG PACTUAL S.A.,3.93,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""TEPP11 - TELLUS PROPERTIES - FDO INV. IMOB"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""30"",""preco_unitario"":""0.131"",""valor_operacao"":""3.93""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,TEPP11 - TELLUS PROPERTIES - FDO INV. IMOB,GENIAL INSTITUCIONAL CCTVM S/A,37,0.131,4.84,CREDITO,2026-04-15,Rendimento,TEPP11 - TELLUS PROPERTIES - FDO INV. IMOB,GENIAL INSTITUCIONAL CCTVM S.A.,37,0.131,PROVENTO,RENDIMENTO,TEPP11,TELLUS PROPERTIES - FDO INV. IMOB,GENIAL INSTITUCIONAL CCTVM S.A.,4.84,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""TEPP11 - TELLUS PROPERTIES - FDO INV. IMOB"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""37"",""preco_unitario"":""0.131"",""valor_operacao"":""4.84""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,TEPP11 - TELLUS PROPERTIES - FDO INV. IMOB,NU INVESTIMENTOS S.A. - CTVM,50,0.131,6.55,CREDITO,2026-04-15,Rendimento,TEPP11 - TELLUS PROPERTIES - FDO INV. IMOB,NU INVEST CORRETORA DE VALORES S.A.,50,0.131,PROVENTO,RENDIMENTO,TEPP11,TELLUS PROPERTIES - FDO INV. IMOB,NU INVEST CORRETORA DE VALORES S.A.,6.55,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""TEPP11 - TELLUS PROPERTIES - FDO INV. IMOB"",""instituicao"":""NU INVESTIMENTOS S.A. - CTVM"",""quantidade"":""50"",""preco_unitario"":""0.131"",""valor_operacao"":""6.55""}",rendimento,aumenta,sem alteração,não altera,não,não,
