data_evento,categoria_evento,operacao,entrada_saida,ticker,ativo_nome,instituicao,quantidade,preco_unitario,valor_total,impacto_caixa,impacto_posicao,impacto_custo_medio,revisao_manual,inconsistencia_qtd_preco_valor,status_importacao,motivo_revisar,linha_origem,origem_data,origem_movimentacao,origem_produto,origem_instituicao,origem_quantidade,origem_preco_unitario,origem_valor_operacao,auditoria_valor_original
2026-04-13,juros sobre capital próprio,JCP,CREDITO,B3SA3,"B3 S.A. - BRASIL, BOLSA, BALCÃO",GENIAL INSTITUCIONAL CCTVM S.A.,26,0.074,1.6,aumenta,sem alteração,não altera,TRUE,TRUE,REVISAR,revisao_manual;inconsistencia_qtd_preco_valor,58,13/04/2026,Juros Sobre Capital Próprio,"B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO",GENIAL INSTITUCIONAL CCTVM S/A,26,0.074,1.6,"{""entrada_saida"":""Credito"",""data"":""13/04/2026"",""movimentacao"":""Juros Sobre Capital Próprio"",""produto"":""B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""26"",""preco_unitario"":""0.074"",""valor_operacao"":""1.6""}"
2026-04-13,juros sobre capital próprio,JCP,CREDITO,B3SA3,"B3 S.A. - BRASIL, BOLSA, BALCÃO",NU INVEST CORRETORA DE VALORES S.A.,10,0.074,0.63,aumenta,sem alteração,não altera,TRUE,TRUE,REVISAR,revisao_manual;inconsistencia_qtd_preco_valor,59,13/04/2026,Juros Sobre Capital Próprio,"B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO",NU INVESTIMENTOS S.A. - CTVM,10,0.074,0.63,"{""entrada_saida"":""Credito"",""data"":""13/04/2026"",""movimentacao"":""Juros Sobre Capital Próprio"",""produto"":""B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO"",""instituicao"":""NU INVESTIMENTOS S.A. - CTVM"",""quantidade"":""10"",""preco_unitario"":""0.074"",""valor_operacao"":""0.63""}"
2026-04-13,juros sobre capital próprio,JCP,CREDITO,B3SA3,"B3 S.A. - BRASIL, BOLSA, BALCÃO",NU INVEST CORRETORA DE VALORES S.A.,10,0.074,0.62,aumenta,sem alteração,não altera,TRUE,TRUE,REVISAR,revisao_manual;inconsistencia_qtd_preco_valor,60,13/04/2026,Juros Sobre Capital Próprio,"B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO",NU INVESTIMENTOS S.A. - CTVM,10,0.074,0.62,"{""entrada_saida"":""Credito"",""data"":""13/04/2026"",""movimentacao"":""Juros Sobre Capital Próprio"",""produto"":""B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO"",""instituicao"":""NU INVESTIMENTOS S.A. - CTVM"",""quantidade"":""10"",""preco_unitario"":""0.074"",""valor_operacao"":""0.62""}"
2026-04-10,juros sobre capital próprio,JCP,CREDITO,PSSA3,PORTO SEGURO S.A.,BANCO BTG PACTUAL S.A.,1,0.538,0.46,aumenta,sem alteração,não altera,TRUE,TRUE,REVISAR,revisao_manual;inconsistencia_qtd_preco_valor,63,10/04/2026,Juros Sobre Capital Próprio,PSSA3 - PORTO SEGURO S/A,BANCO BTG PACTUAL S/A,1,0.538,0.46,"{""entrada_saida"":""Credito"",""data"":""10/04/2026"",""movimentacao"":""Juros Sobre Capital Próprio"",""produto"":""PSSA3 - PORTO SEGURO S/A"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""1"",""preco_unitario"":""0.538"",""valor_operacao"":""0.46""}"
2026-04-10,juros sobre capital próprio,JCP,CREDITO,PSSA3,PORTO SEGURO S.A.,BANCO BTG PACTUAL S.A.,1,0.534,0.46,aumenta,sem alteração,não altera,TRUE,TRUE,REVISAR,revisao_manual;inconsistencia_qtd_preco_valor,64,10/04/2026,Juros Sobre Capital Próprio,PSSA3 - PORTO SEGURO S/A,BANCO BTG PACTUAL S/A,1,0.534,0.46,"{""entrada_saida"":""Credito"",""data"":""10/04/2026"",""movimentacao"":""Juros Sobre Capital Próprio"",""produto"":""PSSA3 - PORTO SEGURO S/A"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""1"",""preco_unitario"":""0.534"",""valor_operacao"":""0.46""}"
2026-04-06,atualização,ATUALIZACAO,CREDITO,BPAC11,BANCO BTG PACTUAL S.A.,BANCO BTG PACTUAL S.A.,1,,,depende da liquidação,sem alteração,pode alterar base contábil,TRUE,FALSE,REVISAR,revisao_manual,74,06/04/2026,Atualização,BPAC11 - BANCO BTG PACTUAL S/A,BANCO BTG PACTUAL S/A,1,-,-,"{""entrada_saida"":""Credito"",""data"":""06/04/2026"",""movimentacao"":""Atualização"",""produto"":""BPAC11 - BANCO BTG PACTUAL S/A"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""1"",""preco_unitario"":"" - "",""valor_operacao"":"" - ""}"
2026-04-06,atualização,ATUALIZACAO,CREDITO,VALE3,VALE S.A.,GENIAL INSTITUCIONAL CCTVM S.A.,3,,,depende da liquidação,sem alteração,pode alterar base contábil,TRUE,FALSE,REVISAR,revisao_manual,75,06/04/2026,Atualização,VALE3 - VALE S.A.,GENIAL INSTITUCIONAL CCTVM S/A,3,-,-,"{""entrada_saida"":""Credito"",""data"":""06/04/2026"",""movimentacao"":""Atualização"",""produto"":""VALE3 - VALE S.A."",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""3"",""preco_unitario"":"" - "",""valor_operacao"":"" - ""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,BRCO11,FII BRESCO,BANCO BTG PACTUAL S.A.,2,115.29,230.58,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,76,02/04/2026,Transferência - Liquidação,BRCO11 - FII BRESCO,BANCO BTG PACTUAL S/A,2,115.29,230.58,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""BRCO11 - FII BRESCO  "",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""2"",""preco_unitario"":""115.29"",""valor_operacao"":""230.58""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,BRCR11,FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND,BANCO BTG PACTUAL S.A.,5,46.67,233.35,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,77,02/04/2026,Transferência - Liquidação,BRCR11 - FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND,BANCO BTG PACTUAL S/A,5,46.67,233.35,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""BRCR11 - FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""5"",""preco_unitario"":""46.67"",""valor_operacao"":""233.35""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,BTAL11,FDO. INV. IMOB. BTG PACTUAL AGRO LOGÍSTICA,BANCO BTG PACTUAL S.A.,3,89.43,268.29,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,78,02/04/2026,Transferência - Liquidação,BTAL11 - FDO. INV. IMOB. BTG PACTUAL AGRO LOGÍSTICA,BANCO BTG PACTUAL S/A,3,89.43,268.29,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""BTAL11 - FDO. INV. IMOB. BTG PACTUAL AGRO LOGÍSTICA"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""3"",""preco_unitario"":""89.43"",""valor_operacao"":""268.29""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,BTCI11,FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,BANCO BTG PACTUAL S.A.,29,9.2,266.8,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,79,02/04/2026,Transferência - Liquidação,BTCI11 - FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,BANCO BTG PACTUAL S/A,29,9.2,266.8,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""BTCI11 - FII BTG PACTUAL CRÉDITO IMOBILIÁRIO"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""29"",""preco_unitario"":""9.2"",""valor_operacao"":""266.8""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,BTLG11,BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,BANCO BTG PACTUAL S.A.,2,103.27,206.54,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,80,02/04/2026,Transferência - Liquidação,BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,BANCO BTG PACTUAL S/A,2,103.27,206.54,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""2"",""preco_unitario"":""103.27"",""valor_operacao"":""206.54""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,CCME11,CANUMA CAPITAL MULTIESTRATÉGIA FDO DE INV IMOB,BANCO BTG PACTUAL S.A.,23,8.93,205.39,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,81,02/04/2026,Transferência - Liquidação,CCME11 - CANUMA CAPITAL MULTIESTRATÉGIA FDO DE INV IMOB,BANCO BTG PACTUAL S/A,23,8.93,205.39,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""CCME11 - CANUMA CAPITAL MULTIESTRATÉGIA FDO DE INV IMOB"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""23"",""preco_unitario"":""8.93"",""valor_operacao"":""205.39""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,CPTS11,CAPITANIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,BANCO BTG PACTUAL S.A.,33,7.98,263.34,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,82,02/04/2026,Transferência - Liquidação,CPTS11 - CAPITANIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,BANCO BTG PACTUAL S/A,33,7.98,263.34,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""CPTS11 - CAPITANIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""33"",""preco_unitario"":""7.98"",""valor_operacao"":""263.34""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,CXAG11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,BANCO BTG PACTUAL S.A.,2,78.01,156.02,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,83,02/04/2026,Transferência - Liquidação,CXAG11 - FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,BANCO BTG PACTUAL S/A,2,78.01,156.02,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""CXAG11 - FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""2"",""preco_unitario"":""78.01"",""valor_operacao"":""156.02""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,FATN11,FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,BANCO BTG PACTUAL S.A.,3,86.75,260.25,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,84,02/04/2026,Transferência - Liquidação,FATN11 - FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,BANCO BTG PACTUAL S/A,3,86.75,260.25,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""FATN11 - FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""3"",""preco_unitario"":""86.75"",""valor_operacao"":""260.25""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,FGAA11,FG/AGRO FDO DE INVEST - FIAGRO - IMOBILIÁRIO,BANCO BTG PACTUAL S.A.,21,9.27,194.67,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,85,02/04/2026,Transferência - Liquidação,FGAA11 - FG/AGRO FDO DE INVEST - FIAGRO - IMOBILIÁRIO,BANCO BTG PACTUAL S/A,21,9.27,194.67,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""FGAA11 - FG/AGRO FDO DE INVEST - FIAGRO - IMOBILIÁRIO"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""21"",""preco_unitario"":""9.27"",""valor_operacao"":""194.67""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,GGRC11,GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA,BANCO BTG PACTUAL S.A.,25,10.26,256.5,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,86,02/04/2026,Transferência - Liquidação,GGRC11 - GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA,BANCO BTG PACTUAL S/A,25,10.26,256.5,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""GGRC11 - GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""25"",""preco_unitario"":""10.26"",""valor_operacao"":""256.5""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,HGBS11,HEDGE BRASIL SHOPPING FDO INV IMOB,BANCO BTG PACTUAL S.A.,13,20.39,265.07,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,87,02/04/2026,Transferência - Liquidação,HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB,BANCO BTG PACTUAL S/A,13,20.39,265.07,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""13"",""preco_unitario"":""20.39"",""valor_operacao"":""265.07""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,HGCR11,PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,BANCO BTG PACTUAL S.A.,3,97.78,293.34,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,88,02/04/2026,Transferência - Liquidação,HGCR11 - PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT,BANCO BTG PACTUAL S/A,3,97.78,293.34,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""HGCR11 - PATRIA RECEBIVEIS IMOBILIARIOS - FIM- RESPONSABILIDADE LIMIT"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""3"",""preco_unitario"":""97.78"",""valor_operacao"":""293.34""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,HGLG11,PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.,BANCO BTG PACTUAL S.A.,2,156.04,312.08,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,89,02/04/2026,Transferência - Liquidação,HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA.,BANCO BTG PACTUAL S/A,2,156.04,312.08,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""HGLG11 - PÁTRIA LOG - FDO INV IMOB - RESPONSABILIDADE LTDA."",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""2"",""preco_unitario"":""156.04"",""valor_operacao"":""312.08""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,HGPO11,PÁTRIA PRIME OFFICES - FII - RESPONSABILIDADE LTDA,BANCO BTG PACTUAL S.A.,2,151.94,303.88,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,90,02/04/2026,Transferência - Liquidação,HGPO11 - PÁTRIA PRIME OFFICES - FII - RESPONSABILIDADE LTDA,BANCO BTG PACTUAL S/A,2,151.94,303.88,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""HGPO11 - PÁTRIA PRIME OFFICES - FII - RESPONSABILIDADE LTDA"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""2"",""preco_unitario"":""151.94"",""valor_operacao"":""303.88""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,JSRE11,JS REAL ESTATE MULTIGESTÃO - FII,BANCO BTG PACTUAL S.A.,3,66.75,200.25,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,91,02/04/2026,Transferência - Liquidação,JSRE11 - JS REAL ESTATE MULTIGESTÃO - FII,BANCO BTG PACTUAL S/A,3,66.75,200.25,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""JSRE11 - JS REAL ESTATE MULTIGESTÃO - FII"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""3"",""preco_unitario"":""66.75"",""valor_operacao"":""200.25""}"
2026-04-02,transferência/liquidação,TRANSFERENCIA_LIQUIDACAO,CREDITO,KNCA11,KINEA CRÉDITO AGRO FIAGRO-IMOBILIÁRIO,BANCO BTG PACTUAL S.A.,2,96.06,192.12,depende da direção,pode alterar,pode alterar,TRUE,FALSE,REVISAR,revisao_manual,92,02/04/2026,Transferência - Liquidação,KNCA11 - KINEA CRÉDITO AGRO FIAGRO-IMOBILIÁRIO,BANCO BTG PACTUAL S/A,2,96.06,192.12,"{""entrada_saida"":""Credito"",""data"":""02/04/2026"",""movimentacao"":""Transferência - Liquidação"",""produto"":""KNCA11 - KINEA CRÉDITO AGRO FIAGRO-IMOBILIÁRIO"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""2"",""preco_unitario"":""96.06"",""valor_operacao"":""192.12""}"
